NAME,SEX,POLITICAL PARTY,ALIAS
"OCAMPO, VLADIMIR LORETO",MALE,INDEPENDENT,OCAMPO
"OLLESCA, JUAN JUAN OLILA",MALE,INDEPENDENT,OLLESCA
"ORDENES, LEYSANDER AGUILAR",MALE,INDEPENDENT,ORDENES
"PACQUIAO, EMMANUEL DAPIDRAN",MALE,ABAG PROMDI,"PACMAN, PACQUAIO, MANNY PACQUIAO, MANNY, LETMANNYLEAD"
"PIJAO, FERDINAND JOSE DAVID",MALE,INDEPENDENT,PIJAO
"PORIO, DEOGRACIAS ESTENZO",MALE,INDEPENDENT,PORIO
"PUNO, MELCHOR CALUBIA",MALE,INDEPENDENT,PUNO
"QUIRAO, DOLORES JAVATO",FEMALE,INDEPENDENT,QUIRAO
"RAVAL, LUZMINDA MATURAN",FEMALE,INDEPENDENT,RAVAL
"RESPUESTO, ALFREDO DECIERDO",MALE,INDEPENDENT,RESPUESTO
"RIVERA, BENJAMIN POLIDARIO",MALE,INDEPENDENT,RIVERA
"ROBLE, DANILO CASIPONG",MALE,INDEPENDENT,ROBLE
"ROBREDO, MARIA LEONOR GERONA",FEMALE,INDEPENDENT,"LENI ROBREDO, LENI, ROBREDO, DapatSiLeni, LETLENILEAD, LABANLENI, KAKAMPINK, PINK"
"ROCA, CESAR CALAGOS",MALE,INDEPENDENT,ROCA
"RODEN, JEFFREY JARABA",MALE,INDEPENDENT,RODEN
"RUBI, EDMUNDO PARDO",MALE,INDEPENDENT,RUBI
"SALIM, SAHIRON DULAH",MALE,INDEPENDENT,SALIM
"SEÑO, CORNELIO LIM",MALE,INDEPENDENT,SEÑO
"SOGUILON, APOLONIA COMIA",FEMALE,INDEPENDENT,SOGUILON
"STA. MARIA, ROOSEVELT GRANDE",MALE,INDEPENDENT,STA. MARIA
"TAGLE, PEDRITO DIAZ",MALE,INDEPENDENT,TAGLE
"TALION, NESTOR FRIAS",MALE,INDEPENDENT,TALION
"TORRES, JIMMY ALFEROS",MALE,INDEPENDENT,TORRES
"TROCENIO, JUANITA MENDOZA",FEMALE,INDEPENDENT,TROCENIO
"VALDES, ANTONIO ABAD SANTOS",MALE,INDEPENDENT,VALDES
"VALERA, RENATO JOSE CASTRO",MALE,INDEPENDENT,VALERA
"VELASCO, ANNA CAPELLA ARGUELLES",FEMALE,LAKAS CHRISTIAN MUSLIM DEMOCRATS,VELASCO
"VILLANUEVA, DANILO UDHAY",MALE,INDEPENDENT,VILLANUEVA
"YULAGA, LAURENCIO CABALLERO",MALE,PHILIPPINE GREEN REPUBLICAN PARTY,YULAGA
